product_id,1304808,1304849,1305263,1306183,1306413,1306571,1306650,1306747,1306980,1307035,1307069,1307070,1307071,1307072,1307073,1307140,1307187,1307194,1307310,1307346,1307348,1307349,1307352,1307370,1307408,1307441,1307450,1307552,1307566,1307568,1307571,1307572,1307573,1307574,1307582,1307583,1307584,1307585,1307586,1307588,1307589,1307594,100002043,100008006,100008333,100008382,100011103,100023514,100023842,100029766,100041192,100070656,100083239,100104481,100104755,100106029,100106045,100106207,100109950,100113894,100120340,100123713
1307441,0,0,0,0,0,0,0,0,8.37,0,0,0,6.71,13.22,0,6.68,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,8.82,7.67,5.33,0,0,12.89,0,7.02,0,0,0,0,8.69,6.78,10.09,11.78,0,6.32,6.57,9.42,10.39,0,12.73,12.7,0,9.41,0,10.91,12.22,14.65,10.5
1307450,0,0,5.23,0,0,-4.96,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.69,0,0,4.06,0,-3.54,0,7.02,0,3.86,0,-6.95,0,7.45,3.9,0,4.18,5.58,0,0,0,4.78,7.42,0,7.7,6.71,0,5.75,0,6.48,9.19,8.09,5.33
1307552,0,0,4.57,0,0,-5.16,-5.78,0,6.0,0,0,0,0,9.4,0,6.26,0,0,-2.74,0,0,0,0,4.79,0,0,6.01,0,5.85,-4.44,0,7.72,6.05,3.84,-3.89,0,11.19,8.88,5.83,0,-7.81,0,5.74,4.78,4.93,7.16,10.21,0,4.54,5.48,7.14,8.92,0,9.98,9.42,0,7.61,0,10.31,11.58,12.37,9.54
1307566,0,0,4.76,0,0,-6.18,0,0,0,0,0,0,0,9.04,-6.21,5.94,0,0,-3.22,0,0,0,0,4.64,0,7.15,6.73,0,5.95,-4.25,0,7.51,6.71,3.79,-5.04,0,11.42,9.29,5.88,0,0,0,0,0,5.13,7.24,10.54,0,5.28,5.68,7.47,8.3,0,10.17,9.62,4.92,8.22,0,10.76,11.53,12.6,10.18
1307568,14.34,0,0,0,0,0,0,7.17,0,0,0,0,0,0,0,5.65,0,0,-3.5,0,0,0,0,5.39,0,8.08,7.17,0,5.21,0,4.03,6.86,6.74,0,-3.82,0,9.96,8.52,5.38,-4.85,0,0,0,0,5.54,5.53,9.66,0,0,6.75,5.5,6.44,0,6.39,0,4.27,6.12,0,10.09,9.47,10.94,8.35
1307571,0,0,7.58,0,0,-7.19,0,0,7.51,0,0,0,5.75,13.66,0,7.23,0,0,0,0,0,0,4.02,6.52,0,10.51,7.24,0,7.85,0,0,10.14,7.98,5.56,0,5.13,15.22,10.68,8.45,0,0,0,8.89,7.05,7.33,9.37,12.82,0,5.63,7.83,9.79,10.88,0,12.53,13.1,0,10.29,0,13.74,13.54,15.71,10.67
1307572,0,0,0,0,0,-5.05,0,0,6.08,0,0,0,0,9.08,0,5.96,0,0,-2.84,0,-4.48,0,0,0,0,0,5.68,0,5.65,-4.32,0,7.33,6.13,3.53,-3.9,0,10.64,8.64,5.49,0,0,0,0,4.97,4.49,6.34,9.67,0,0,5.05,6.73,7.78,0,9.51,8.64,0,7.01,0,9.41,11.88,11.82,9.01
1307573,0,0,4.31,0,0,-4.73,0,0,5.07,0,0,0,0,7.14,0,4.93,0,0,-2.41,0,0,0,0,0,0,0,5.33,0,4.81,-3.61,0,5.99,5.17,3.25,-3.64,0,8.87,7.35,4.44,0,0,0,0,0,3.88,6.16,8.22,0,3.99,4.44,6.01,7.09,0,8.31,7.51,3.68,6.5,0,8.07,10.18,9.96,8.08
1307574,0,0,4.42,0,0,-5.15,-5.72,0,6.01,0,0,0,0,10.02,0,6.24,0,0,0,0,0,0,3.22,5.47,0,7.9,6.43,0,6.55,-3.92,3.47,8.34,6.1,4.29,-3.15,3.47,11.99,9.28,6.39,0,0,0,6.16,4.87,5.57,6.99,10.45,0,3.97,6.19,7.61,8.91,0,9.65,9.55,0,7.19,0,10.64,9.9,12.62,9.03
1307582,0,0,5.86,0,0,0,0,0,5.15,0,0,0,5.31,0,-6.14,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,-3.27,3.67,0,0,0,0,0,0,6.86,4.87,0,4.53,0,0,4.4,0,5.11,6.59,0,9.34,7.56,0,5.3,0,0,8.42,7.52,5.87
